P10-2002	5	mtlab.hit.edu.cn:0.40;microsoft.com:0.60
P10-2003	5	ict.ac.cn:1.00
P10-2004	2	nict.go.jp:1.00
P10-2005	3	us.ibm.com:1.00
P10-2006	3	cam.ac.uk:1.00
P10-2007	2	brown.edu:1.00
P10-2008	3	utexas.edu:1.00
P10-2009	4	ed.ac.uk:0.50;navy.mil:0.50
P10-2010	2	fdi.ucm.es:0.50;mit.edu:0.50
P10-2011	2	uvt.nl:1.00
P10-2012	1	inf.ed.ac.uk:1.00
P10-2013	4	vassar.edu:0.25;berkeley.edu:0.25;princeton.edu:0.25;columbia.edu:0.25
P10-2014	2	el.itc.nagoya-u.ac.jp:1.00
P10-2015	4	tkk.fi:0.75;kyamk.fi:0.25
P10-2016	3	ufal.mff.cuni.cz:0.67;email.cz:0.33
P10-2017	2	utexas.edu:0.50;ims.uni-stuttgart.de:0.50
P10-2018	3	is.naist.jp:0.67;ecei.tohoku.ac.jp:0.33
P10-2019	1	coli.uni-saarland.de:1.00
P10-2020	1	uni-potsdam.de:1.00
P10-2021	4	gmail.com:1.00
P10-2022	5	gmail.com:0.25;rgu.ac.uk:0.25;ed.ac.uk:0.25;tju.edu.cn:0.25
P10-2023	5	in.ibm.com:1.00
P10-2024	1	open.ac.uk:1.00
P10-2025	3	cslab.kecl.ntt.co.jp:0.67;lab.ntt.co.jp:0.33
P10-2026	4	ict.ac.cn:0.50;sktelecom.com:0.50
P10-2027	2	cmu.edu:1.00
P10-2028	2	mmci.uni-saarland.de:1.00
P10-2029	6	jhu.edu:0.17;cornell.edu:0.17;utah.edu:0.33;llnl.gov:0.33
P10-2030	3	cslab.kecl.ntt.co.jp:0.67;lab.ntt.co.jp:0.33
P10-2031	1	coli.uni-saarland.de:1.00
P10-2032	3	iti.upv.es:0.50;dsic.upv.es:0.50
P10-2033	3	columbia.edu:1.00
P10-2034	3	cslab.kecl.ntt.co.jp:1.00
P10-2035	2	cl.ci.i.u-tokyo.ac.jp:0.50;i.u-tokyo.ac.jp:0.50
P10-2036	5	upenn.edu:0.60;l2f.inesc-id.pt:0.20;google.com:0.20
P10-2037	3	berkeley.edu:0.67;microsoft.com:0.33
P10-2038	1	hum.ku.dk:1.00
P10-2039	3	isi.edu:0.67;berkeley.edu:0.33
P10-2040	4	brown.edu:0.50;yahoo.com:0.25;science.mq.edu.au:0.25
P10-2041	2	microsoft.com:1.00
P10-2042	2	dcs.shef.ac.uk:0.50;comlab.ox.ac.uk:0.50
P10-2043	2	
P10-2044	3	furui.cs.titech.ac.jp:1.00
P10-2045	3	yahoo-inc.com:0.33;cs.biu.ac.il:0.33;gmail.com:0.33
P10-2046	2	cornell.edu:1.00
P10-2047	3	northwestern.edu:0.67;wustl.edu:0.33
P10-2048	2	rochester.edu:0.50;polymtl.ca:0.50
P10-2049	2	
P10-2050	2	cornell.edu:1.00
P10-2051	3	furui.cs.titech.ac.jp:1.00
